Freq [GHz],S12 Mag,S13 Mag,S14 Mag,S23 Mag,S24 Mag,S34 Mag,S12 Phase,S13 Phase,S14 Phase,S23 Phase,S24 Phase,S34 Phase,S11 Mag,S22 Mag,S33 Mag,S44 Mag,S11 Phase,S22 Phase,S33 Phase,S44 Phase,,Size
0.8422,-30.90263478,-38.44592945,-33.5522286,-28.04767783,-25.94040966,-39.64425258,47.95083466,-128.572959,-83.02028354,-19.05801247,-78.73955935,4.055474554,-0.406308373,-0.652218674,-0.62237731,-0.5856965,-26.79820903,-35.99392605,-33.61251187,-30.75055933,,20
0.848,-30.54139707,-38.19577435,-34.61788414,-27.49659577,-26.66905226,-38.18348534,44.97826742,-146.7289174,-75.73500325,-24.37341432,-94.16188038,-1.41774105,-0.404947146,-0.669720462,-0.596687303,-0.593483334,-27.18929878,-36.33328148,-33.53303068,-30.97326416,,20
0.8538,-29.83815292,-38.07504676,-34.78266028,-27.05080947,-27.8782142,-36.76589022,41.14672989,-162.5881474,-66.6446003,-32.32942041,-108.8452098,-8.010702685,-0.38661531,-0.689065688,-0.585224796,-0.597763144,-27.39193879,-36.78233195,-33.69774544,-31.37589911,,20
0.8596,-29.12610893,-37.88106204,-34.41486807,-26.88720588,-29.33550755,-36.39527234,36.75113427,-176.5970724,-59.01317204,-39.17882366,-121.0346464,-17.5913427,-0.368574475,-0.721852945,-0.577050972,-0.600616899,-27.57481416,-37.01033762,-33.79708606,-31.59091681,,20
0.8654,-28.33358832,-37.73895224,-33.53533509,-26.73419555,-30.83324585,-36.62556954,31.92315102,172.4229207,-54.35334152,-45.88391034,-131.6158337,-22.32571839,-0.349943937,-0.743328218,-0.593252298,-0.611582742,-28.12587937,-37.32280085,-34.2844221,-31.79244643,,20
0.8712,-27.62492083,-37.12293421,-32.77207111,-26.57651045,-32.52161455,-36.21128543,26.70083354,163.7893098,-52.14997663,-51.72146984,-141.7861709,-21.49163821,-0.330193153,-0.778365093,-0.613990837,-0.619419572,-28.45734819,-37.78063184,-34.88487833,-32.29365237,,20
0.877,-26.75173879,-36.39585112,-31.96911136,-26.33386625,-34.38073873,-35.48650195,21.4563434,155.2989998,-49.97890547,-56.9783232,-150.4194372,-25.13464088,-0.337526211,-0.827199889,-0.657105088,-0.648306952,-28.91308655,-38.10568471,-35.49841836,-32.59113564,,20
0.8828,-25.82301376,-35.72164348,-31.00830414,-25.77237297,-36.32895788,-35.19869114,15.91789928,145.6947249,-49.07840994,-62.22407587,-160.1233255,-31.75365187,-0.355173451,-0.899221377,-0.722138093,-0.68167834,-29.19807019,-38.64443715,-36.40932076,-32.99874137,,20
0.8886,-24.78199499,-35.4506841,-29.93127386,-25.09308398,-38.90765098,-35.54704403,8.94176148,136.65629,-48.50480656,-70.2438344,-174.3442564,-36.26578432,-0.40150967,-0.981914605,-0.795316188,-0.734130878,-29.66681289,-38.96139612,-37.16828853,-33.31544038,,20
0.8944,-23.65240476,-35.09718356,-28.79112888,-24.7911252,-42.97586059,-35.86473895,0.876677529,131.4978773,-50.21493456,-80.40752048,165.6356466,-37.62657608,-0.4166806,-1.058930913,-0.900731294,-0.803223303,-29.76451238,-39.30021814,-37.97980841,-33.45834601,,20
0.9002,-22.4981496,-34.71117453,-27.63944259,-24.69429521,-49.72422451,-35.9623871,-9.498075056,125.4033837,-53.04660178,-89.40562518,116.2852973,-36.36677561,-0.442626486,-1.142735125,-0.985370422,-0.87784941,-30.00793527,-39.81584501,-38.71393201,-33.55639109,,20
0.906,-21.44496684,-34.36706257,-26.49143869,-24.53676997,-47.92654082,-35.63020705,-22.90585794,121.5824139,-57.27974224,-98.11005158,21.91417361,-34.27613381,-0.472731259,-1.263348306,-1.080868467,-0.968047925,-30.22479631,-40.1915974,-39.48405886,-33.41865713,,20
0.9118,-20.83481969,-33.66993239,-25.56322892,-24.39779036,-42.59198507,-34.86140127,-37.60574545,118.3601467,-62.2594975,-107.1142238,-7.05364553,-36.21941795,-0.514525059,-1.358611191,-1.132442677,-1.001715995,-30.41575674,-40.50451977,-40.25452224,-33.00306785,,20
0.9176,-20.58367583,-32.81281266,-24.57094792,-24.32734298,-38.77600019,-34.56716093,-52.87545652,113.5145899,-67.18832436,-117.9349328,-19.40207744,-39.89320763,-0.570391895,-1.444040838,-1.165009791,-0.946799432,-30.83130829,-40.75399712,-40.98480624,-32.42702168,,20
0.9234,-20.61104478,-32.18513638,-23.55294701,-24.59633673,-36.24805683,-34.35807586,-67.82905065,107.7775185,-73.04915917,-128.7389585,-31.98503439,-41.81047343,-0.617657196,-1.572639194,-1.213885505,-0.862880493,-31.11474661,-40.75957434,-41.77869455,-32.39922546,,20
0.9292,-20.91946647,-31.54044046,-22.52081207,-24.98219415,-33.93448979,-34.14417274,-82.1345549,103.7563657,-80.8316892,-139.5691333,-42.01467098,-44.74236729,-0.649536853,-1.639730899,-1.261134267,-0.784273802,-31.13764376,-40.32458265,-42.7095256,-32.78534395,,20
0.935,-21.38040033,-30.80134108,-21.6167197,-25.51515826,-32.00283765,-33.95549607,-95.64838305,98.20583918,-89.63824909,-149.2054787,-54.86984942,-46.13648055,-0.649097503,-1.631490461,-1.326775836,-0.749051433,-31.31073567,-39.6357418,-43.47038376,-33.22624272,,20
